Terms,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings
Day 27,,,,,,,
be made up of,"syn: Consist of, be composed of",is made up of islands,-den oluşmak [f.],,,,
raise,"syn: Increase, bring up, augment",raise electricity,Kaldırmak [f.],büyütmek [f.],yükseltmek [f.],,
recognize,"syn: Know, identify, distinguish",recognize effects,Ayırt etmek [f.],farkına varmak [f.],bilmek [f.],,
occurrence,"syn: Event, incident, happening",occurrence of earthquakes,Olay [i.],oluşum [i.],meydana gelme [i.],,
objectively,"syn: Impartially, dispassionately, neutrally",respond objectively,Nesnel olarak [zf.],tarafsızca [zf.],,,
insulation,"syn: Protection, defence, shelter",insulation materials,Yalıtım [i.],,,,
reinforcement,"syn: Strengthening, support, fortification, consolidation",reinforcement panel,Takviye [i.],güçlendirme [i.],,,
residue,"syn: Remains, sediment, dregs",residue every day,Tortu [i.],kalıntı [i.],,,
unveil,"syn: Reveal, disclose, uncover, show for the first time",unveiled a new,Açığa çıkarmak [f.],ortaya koymak [f.],göstermek (ilk kez) [f.],,
surveillance,"syn: Close observation, scrutiny",surveillance of water,Gözetim [i.],yakın takip [i.],,,
switch,"syn: Convert, change, shift",switched the test,Değiştirmek [f.],,,,
rely on,"syn: Depend on, count on, trust",rely on renewable resources,Güvenmek [f.],bel bağlamak [f.],,,
insufficient,"syn: Inadequate, deficient, lacking",to insufficient receivers,Yetersiz [s.],az [s.],,,
fertile,"syn: Fruitful, productive, prolific",fertile soil for,Verimli [s.],bereketli [s.],,,
curtail,"syn: Reduce, decrease, abate",curtail water needs,Azaltmak [f.],kısaltmak [f.],,,
starve,syn: Die from hunger,may starve,Açlıktan ölmek [f.],,,,
disprove,"syn: Refute, prove the contrary",disprove each other,Aksini ispat etmek [f.],çürütmek [f.],,,
reverberation,syn: Echo,Reverberation is the,Yankılanma [i.],"yansıma (ışık, ses) [i.]",,,
propel,"syn: Move forward, set in motion",to propel the ships,İtmek [f.],sevk etmek [f.],yürütmek [f.],,
infinitely,"syn: Extremely, highly, exceptionally, exceedingly, immensely",increase infinitely,Son derece [zf.],çok [zf.],,,
Day 28,,,,,,,
insist,"syn: Persist, maintain, assert",insist that,Israr etmek [f.],ısrarla vurgulamak [f.],iddia etmek [f.],,
critical,"syn: Significant, vital, important, essential",critical factor,Önemli [s.],kritik [s.],,,
curb,"syn: Restrain, keep under control",curb emissions,Kontrol altına almak [f.],frenlemek [f.],,,
thrive,"syn: Flourish, prosper",thrive in soils,Gelişmek [f.],büyümek [f.],,,
renewable,syn: Capable of being renewed,renewable energy,Yenilenebilir [s.],,,,
supposition,"syn: Hypothesis, assumption, deduction",suppositions about the,Tahmin [i.],sanı [i.],varsayım [i.],,
remote,"syn: Distant, isolated, faraway",remote ones were,Uzak [s.],mesafeli [s.],,,
propose,"syn: Suggest, offer, put forward, recommend",propose the idea,Önermek [f.],teklif etmek [f.],ileri sürmek [f.],,
output,"syn: Production, yield, harvest",energy output,Çıktı [i.],üretim [i.],,,
reluctant,"syn: Indifferent, unwilling",reluctant to share,İsteksiz [s.],gönülsüz [s.],,,
logging,syn: The activity of cutting trees for the timber,logging accounts for,Ağaç kesme [i.],tomrukçuluk [i.],,,
hindrance,"syn: Impediment, obstacle, barrier",hindrance rather than,Engel [i.],mani [i.],,,
evaporation,syn: Vaporization,evaporation,Buharlaşma [i.],,,,
barren,"syn: Infertile, unproductive",barren soil,Verimsiz [s.],çorak [s.],,,
affair,"syn: Matter, issue, concern",affair continues to,Mesele [i.],sorun [i.],konu [i.],,
precise,"syn: Exact, accurate",precise figures,Kesin [s.],belirli [s.],,,
crude,"syn: Raw, unrefined, unprocessed",crude oil,Ham [s.],işlenmemiş [s.],,,
compatible with,"syn: Matching, fitting",compatible with,ile uyumlu [s.],,,,
fascinating,"syn: Mesmerizing, captivating",fascinating as the,Büyüleyici [s.],etkileyici [s.],,,
prompt,"syn: Cause, bring about",prompt action,Teşvik etmek [f.],harekete geçirmek [f.],-e neden olmak [f.],,
Day 29,,,,,,,
worldwide,"syn: Common, universal, international",changes worldwide,Dünya çapında [s.],yaygın [s.],,,
vast,"syn: Massive, huge, enormous, gigantic, immense",vast ranges,Engin [s.],muazzam [s.],devasa [s.],,
tiny,"syn: Minute, minuscule, small",tiny particles,Minik [s.],küçük [s.],,,
rarity,"syn: Shortage, scarcity, infrequency",rarity of gemstones,Enderlik [i.],seyreklik [i.],az bulunma [i.],,
porous,"syn: Permeable, penetrable, pervious",porous as air,Gözenekli [s.],geçirgen [s.],,,
oscillation,"syn: Wavering, fluctuation",oscillations in rotation,Dalgalanma [i.],salınım [i.],osilasyon [i.],,
mine,syn: Hole in earth for extracting minerals,coal mines,Maden [i.],,,,
exterminate,"syn: Do away with, finish off",exterminate humanity,Yok etmek [f.],kökünü kazımak [f.],,,
irritate,"syn: Inflame, annoy, bother",irritate eyes,Tahriş etmek [f.],rahatsız etmek [f.],,,
crust,"syn: The outer layer of something, coating",ocean crust,Yerkabuğu [i.],kabuk [i.],,,
frequency,syn: Rate of occurrence,with sufficient frequency,Sıklık [i.],,,,
weed,"syn: Unwanted plant, wild plant",weeds among crops,Yabani ot [i.],,,,
oppose,"syn: Be against, object to",be opposed to,-e karşı olmak [f.],itiraz etmek [f.],,,
point out,"syn: Indicate, show, draw attention to, state",point out that,-e dikkati çekmek [f.],işaret etmek [f.],,,
prolong,"syn: Extend, stretch out",prolong life,Uzatmak [f.],,,,
escalation,"syn: Growth, boom, increase, climb, acceleration",escalation in fishery,Tırmanma [i.],artma [i.],yükselme [i.],,
involve,"syn: Include, require, necessitate",involve programmes,İçermek [f.],kapsamak [f.],,,
presume,"syn: Believe, assume, think, deduce, imagine, suppose",presume that,Farz etmek [f.],varsaymak [f.],ihtimal vermek [f.],düşünmek [f.],
expand,"syn: Get bigger, enlarge",universe expands,Genişle(t)mek [f.],yay(ıl)mak [f.],büyü(t)mek [f.],,
proceed,"syn: Carry on, continue, keep on, progress, advance",proceed by describing,Devam etmek [f.],ilerlemek [f.],,,
Day 30,,,,,,,
interpret,"syn: Explain, clarify, shed light on",interpret what causes,Açıklamak [f.],yorumlamak [f.],,,
ultimately,"syn: Finally, eventually",ultimately send people,Nihayetinde [zf.],en sonunda [zf.],,,
far-reaching,"syn: Extensive, huge, broad",far-reaching effects,Kapsamlı [s.],sonuçları ağır [s.],çok büyük [s.],,
suitable,"syn: Correct, reasonable, appropriate",suitable habitats,Münasip [s.],uygun [s.],doğru [s.],,
foster,"syn: Encourage, promote, further, advance",foster development,Teşvik etmek [f.],büyütmek [f.],geliştirmek [f.],,
short-term,"syn: Temporary, interim",short-term solution,Kısa vadeli [s.],geçici [s.],,,
steel,syn: Strong alloy of iron and carbon,steel production,Çelik [i.],,,,
implication,"syn: Suggestion, inference, consequence",implications for ecosystems,Çıkarım [i.],ima [i.],olası sonuç [i.],,
predisposition,"syn: Tendency, inclination",predisposition to diseases,Yatkınlık [i.],eğilim [i.],,,
transmit,"syn: Transfer, pass on, communicate",transmit information,İletmek [f.],bulaştırmak [f.],,,
superiority,"syn: Supremacy, advantage, dominance",superiority over superintelligent,Üstünlük [i.],büyüklük [i.],hakimiyet [i.],,
vegetation,"syn: Plants, plant life, flora",vegetation cover,Bitki örtüsü [i.],bitkiler [i.],,,
erode,"syn: Wear away, deteriorate",erode coastlines,Aşın(dır)mak [f.],,,,
