Terms,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings
Day 1,,,,,,,
necessary,"syn: Essential, needed, required, compulsory, obligatory",necessary precautions,gerekli [s.],zaruri [s.],elzem [s.],,
occur,"syn: Take place, happen",earthquakes occur,meydana gelmek [f.],olmak [f.],,,
penetrate,"syn: Enter, pass through",penetrate human flesh,nüfuz etmek [f.],içine girmek [f.],,,
supply,"syn: Provide, deliver, contribute",supply electricity,sağlamak [f.],temin etmek [f.],desteklemek [f.],,
matter,"syn: Substance, material","space, time and matter",madde [i.],cisim [i.],,,
launch,"syn: Send off, throw",launch a satellite,"fırlatmak (roket, uydu) [f.]",,,,
influence,"syn: Affect, impact",influence biodiversity,etkilemek [f.],tesir etmek [f.],,,
growth,"syn: Development, evolution, progress",growth of planets,büyüme [i.],gelişme [i.],,,
flexibility,syn: Elasticity,meet flexibility requirements,esneklik [i.],bükülebilirlik [i.],,,
eventually,"syn: Finally, ultimately, sooner or later",will eventually allow,nihayetinde [zf.],sonunda [zf.],,,
useful,"syn: Beneficial, helpful, practical",particularly useful for,faydalı [s.],yararlı [s.],,,
magnify,syn: Enlarge,be magnified on a screen,büyültmek [f.],büyük göstermek [f.],,,
formerly,"syn: Previously, in the past",formerly thought that,eskiden [zf.],önceden [zf.],,,
vague,"syn: Unclear, indefinite, ambiguous",vague because of costs,belirsiz [s.],net değil [s.],muğlak [s.],,
enable,"syn: Allow, permit",enable sb to do sth,imkan vermek [f.],olanak sağlamak [f.],,,
vanish,"syn: Die out, disappear",forests are vanishing,yok olmak [f.],kaybolmak [f.],,,
wilderness,syn: Uninhabited area left in its natural condition,wilderness areas,yaban hayat [i.],vahşi yaşam [i.],,,
enhance,"syn: Improve, augment, increase, boost, develop",enhance health,artırmak [f.],geliştirmek [f.],,,
celestial,"syn: Heavenly, astronomical",celestial motions,gökle ilgili [s.],göksel [s.],,,
extinction,"syn: Disappearance, death",extinction of species,nesli tükenme [i.],yok olma [i.],,,
Day 2,,,,,,,
gain,"syn: Get, achieve, acquire, obtain",gain an understanding of,kazanmak [f.],elde etmek [f.],,,
initially,"syn: At first, originally, to begin with",initially formed/thought,başlangıçta [zf.],ilk başlarda [zf.],,,
pursue,"syn: Follow, go after, track",pursue experimental treatments,takip etmek [f.],izlemek [f.],peşinden koşmak [f.],,
reasonable,"syn: Sensible, rational",reasonable alternative to,makul [s.],akıllıca [s.],,,
state,"syn: Condition, situation, shape",liquid/solid state,durum [i.],hal [i.],,,
prove,"syn: Demonstrate, verify, ascertain",prove that,kanıtlamak [f.],ispatlamak [f.],,,
discard,"syn: Throw away, dispose of, get rid of",discard waste,atmak [f.],gözden çıkarmak [f.],kurtulmak [f.],,
knowledge,"syn: Information, wisdom, education",knowledge of atomic numbers,bilgi [i.],ilim [i.],,,
precaution,"syn: Measure, protection",take precautions,önlem [i.],tedbir [i.],,,
repair,"syn: Fix, overhaul",repair the telescope/DNA,tamir etmek [f.],onarmak [f.],,,
primary,"syn: Main, chief, most important",primary concern/source,başlıca [s.],esas [s.],,,
reduce,"syn: Lower, lessen, diminish",reduce the number of,düşürmek [f.],azaltmak [f.],,,
disease,"syn: Sickness, ailment, illness",vulnerable to disease,hastalık [i.],,,,
accessible,"syn: Available, reachable, handy",accessible to humans,ulaşılabilir [s.],erişilebilir [s.],,,
agriculture,"syn: Farming, cultivation",threat to agriculture,tarım [i.],ziraat [i.],,,
annual,syn: Yearly,annual growth/rate,yıllık [s.],,,,
recommend,"syn: Suggest, advise",recommend vaccines/treatment,tavsiye etmek [f.],önermek [f.],,,
vary,"syn: Change, alter",vary from season to season,farklılık göstermek [f.],değişmek [f.],,,
