Terms,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings
Day 41,,,,,,,
threshold,"syn: Starting point, verge, brink",threshold current,Başlangıç noktası [i.],eşik [i.],,,
undertake,"syn: Start, carry out",experiments undertaken,Başlamak [f.],girişmek [f.],gerçekleştirmek [f.],,
ambiguous,"syn: Vague, unclear",ambiguous events,Belirsiz [s.],muğlak [s.],,,
broad,"syn: Spacious, wide, large, extensive",broad impacts,Geniş [s.],kapsamlı [s.],engin [s.],,
conclusive,"syn: Decisive, definite, convincing, certain",conclusive results,Kesin [s.],kati [s.],inandırıcı [s.],,
accord,"syn: Agreement, treaty, settlement, pact, deal",climate accord,Anlaşma [i.],uzlaşma [i.],ittifak [i.],,
acknowledge,"syn: Admit, accept",acknowledge support,Kabul etmek [f.],,,,
arable,"syn: Fertile, productive, fruitful",arable land,Tarıma uygun [s.],ekilebilir [s.],verimli [s.],,
cluster,"syn: Group, collection",clusters of galaxies,Küme [i.],grup [i.],,,
combustion,"syn: Ignition, fire, burning",involves combustion,Yanma [i.],tutuşma [i.],,,
pollinate,syn: Transfer pollen and fertilize plant,pollinate crops,Tozlaştırmak [f.],,,,
conserve,"syn: Preserve, save, keep, protect, maintain",to conserve wetlands,Muhafaza etmek [f.],korumak [f.],,,
contaminate,"syn: Pollute, dirty",contaminate the ocean,Kirletmek [f.],,,,
explicit,"syn: Clear, obvious, overt",explicit responsibility like,Aşikâr [s.],açık [s.],belirgin [s.],,
consider,"syn: Think, believe, deem",generally considered the oldest,Düşünmek [f.],inanmak [f.],,,
algae,syn: Primitive chlorophyll-containing mainly aquatic eukaryotic organisms,microscopic algae build their,Su yosunu [i.],,,,
ingenious,"syn: Creative, clever",many ingenious examples f,Yaratıcı [s.],dahiyane [s.],,,
abuse,"syn: Exploit, misuse",q abused its dominance,Kötüye kullanmak [f.],istismar etmek [f.],,,
basin,syn: Reservoir,Amazon basin,Havza [i.],,,,
deepen,"syn: Intensify, increase, raise",deepen knowledge,Derinleştirmek [f.],artırmak [f.],,,
Day 42,,,,,,,
Milky Way,syn: The Earths galaxy,map of the Milky Way,Samanyolu [i.],,,,
nucleus,syn: Central region of an atom,cell nucleus,Çekirdek [i.],,,,
instantly,"syn: Suddenly, promptly, abruptly, immediately",instantly flooded,Aniden [zf.],birden bire [zf.],,,
intricate,"syn: Complicated, complex, difficult, elaborate",intricate questions,Karışık [s.],anlaşılması güç [s.],,,
gauge,syn: Measure,gauge the distance,Ölçmek [f.],,,,
challenging,"syn: Demanding, difficult, tough",extremely challenging,Zorlayıcı [s.],uğraştırıcı [s.],,,
construct,"syn: Build, make, erect",construct a pipeline,İnşa etmek [f.],yapmak [f.],,,
recognition,"syn: İdentification, detection, distinguishing",user recognition,Tanıma [i.],teşhis [i.],onay [i.],,
represent,"syn: Stand for, symbolize",bursts represent the largest,Temsil etmek [f.],simgelemek [f.],,,
split,syn: Divide,split molecules,Yarmak [f.],bölmek [f.],,,
frigid,"syn: Cold, icy, freezing",at frigid levels,Çok soğuk [s.],dondurucu [s.],,,
result in,"syn: Cause, lead to, bring about",result in deaths,sile sonuçlanmak [f.],sebep olmak [f.],,,
predominantly,"syn: Mainly, largely, chiefly, primarily",is predominantly biological due,Büyük çoğunlukla [zf.],başlıca [zf.],esasen [zf.],,
proximity,"syn: Nearness, closeness",proximity between bodies,Yakınlık [i.],,,,
acquisition,"syn: Gaining, attainment, achievement",acquisition of pangolins,Kazanım [i.],edinim [i.],,,
find out,"syn: Realize; learn, discover, notice",find out whether,Anlamak [f.],öğrenmek [f.],keşfetmek [f.],çözmek [f.],
inspire,"syn: Stimulate; motivate, encourage",inspired by technology,İlham vermek [f.],esin kaynağı olmak [f.],,,
controversial,"syn: Contentious, debated",remain controversial,Tartışmalı [s.],,,,
scope,"syn: Extent, compass",scope of the project,Kapsam [i.],faaliyet alanı [i.],,,
impede,"syn: Obstruct, hinder, hamper",impede progress,Engellemek [f.],mani olmak [f.],,,
Day 43,,,,,,,
mass,"syn: Body, bulk",observed mass of the,Kütle [i.],,,,
volatile,"syn: Evaporative, vaporous",in volatile gases such,Uçucu [s.],,,,
compulsive,syn: Uncontrollable,compulsive logic of,Kontrol edilemeyen [s.],zorlayıcı [s.],,,
probe,"syn: Investigate, research, delve into, look into, explore",to probe genes and,Araştırmak [f.],derinlemesine incelemek [f.],,,
nocturnal,"syn: Related to night, nighttime",by nocturnal animals like,Geceye ait [s.],geceye özgü [s.],,,
adrift,"syn: Drifting, floating",now adrift in the,Sürüklenmekte olan [s.],akıntıya kapılmış [s.],,,
conversion,"syn: Change, adaptation, alteration, translation",large-scale energy-conversion methods such,Dönüşüm [i.],değişim [i.],,,
mutation,"syn: Change, alteration, transformation",by mutations in the,Mutasyon [i.],dönüşme [i.],değişme [i.],,
confident,"syn: Sure, certain, positive",was confident that he,Emin [s.],kendine güvenen [s.],,,
claim,"syn: Assert, allege, maintain, put forward",physicists claim that clocks,İddia etmek [f.],ileri sürmek [f.],,,
expedition,"syn: Voyage, excursion, journey, trip",further expeditions to the,Sefer [i.],keşif yolculuğu [i.],,,
concrete,"syn: Tangible, solid",take concrete steps to,Somut [s.],elle tutulur [s.],,,
excavate,syn: Dig,have excavated the ruins,Kazmak [f.],kazı yapmak [f.],,,
nuisance,"syn: Problem, difficulty, trouble",,Sıkıntı [i.],bela [i.],musibet [i.],,
convenient,"syn: Suitable, handy, appropriate",and convenient way of,Uygun [s.],münasip [s.],yakın [s.],,
cultivate,"syn: Farm, grow, plow, plant",first cultivated crops,Ekmek [f.],toprağı işlemek [f.],,,
distraction,"syn: Diversion, interruption, disturbance",Todays distractions are email,Dikkat dağıtma [i.],dikkat dağıtıcı şeyler [i.],,,
disposition,"syn: Nature, usual mood, personality",animals disposition changed and,Yaradılış [i.],eğilim [i.],doğa [i.],,
affliction,"syn: Suffering, difficulty, hardship",physical afflictions may not,Izdırap [i.],sıkıntı [i.],üzüntü [i.],,
extend,"syn: Expand, enlarge, lengthen",fo extend the new,Genişletmek [f.],uzatmak [f.],,,
Day 44,,,,,,,
counterpart,syn: Eguivalent,wind-driven counterparts,Emsal [i.],tam benzeri [i.],ikame [i.],,
conjure up,"syn: Evoke, call up, remind",intelligence conjures up images,Hatırlatmak [f.],i anımsatmak [f.],akla getirmek [f.],,
derive from,"syn: Arise from, originate from, stem from",bombs derives from chain,den kaynaklanmak [f.],den türemek [f.],den gelmek [f.],,
desertification,syn: Process of becoming desert,of desertification are likely,Çölleşme [i.],çoraklaşma [i.],,,
propensity,"syn: Tendency, inclination",have propensity to spend,Eğilim [i.],meyil [i.],,,
viable,syn: Feasible,commercially viable products,Uygulanabilir [s.],uygun [s.],,,
propeller,syn: Revolving shaft on ship or aircraft,propeller broke and,Pervane [i.],,,,
forbid,"syn: Prohibit, ban, bar, prevent",was forbidden in most,Yasaklamak [f.],engel olmak [f.],,,
remnant,"syn: Remainder, remains, relic",well-preserved remnants of bone,Kalıntı [i.],geri kalan [i.],,,
sparsely,"syn: Thinly, lightly",Arctic sparsely populated and,Seyrek olarak [zf.],,,,
ramification,"syn: Conseguence, complication, result",possible ramifications of the,Sonuç [i.],,,,
prosper,"syn: Flourish, thrive",that prosper when testosterone,Gelişmek [f.],başarmak [f.],,,
pristine,"syn: Unspoiled, untouched",in pristine condition,Saf [s.],bakir [s.],el değmemiş [s.],,
entail,"syn: Involve, require, need",often entails surgery radiation,Gerektirmek [f.],istemek [f.],,,
descend,"syn: Go down, come down",then descended rapidly,İnmek [f.],düşmek [f.],alçalmak [f.],,
manipulate,"syn: Influence, control, direct",are manipulating light sound,Yönlendirmek [f.],kullanmak [f.],,,
distinction,syn: RE,important distinction in the,Ayrım [i.],farklılık [i.],,,
incur,"syn: Suffer, experience -",females incurred all the,Maruz kalmak [f.],yaşamak [f.],tecrübe etmek [f.],,
sensitivity,"syn: Delicacy, responsiveness, reactivity",whose sensitivity to sound,Hassasiyet [i.],duyarlılık [i.],reaksiyon [i.],,
spot,"syn: See, notice, recognize",easily spot a shining,Fark etmek [f.],görmek [f.],,,
Day 45,,,,,,,
collaboration,"syn: Cooperation, teamwork, partnership",deepened collaboration with China,İş birliği [i.],,,,
magnitude,"syn: Greatness, scale, size, extent",guakes magnitude was 5.7,Boyut [i.],genlik [i.],büyüklük [i.],,
